2023-06-26T08:41:57.215021Z,0,System,[MY-010931],[Server] C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe: ready for connections. Version: '8.0.33'  socket: ''  port: 3306  MySQL Community Server - GPL.
2023-07-20T03:48:37.725385Z,0,System,[MY-010116],[Server] C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe (mysqld 8.0.33) starting as process 5344
2023-07-20T03:48:38.829044Z,1,System,[MY-013576],[InnoDB] InnoDB initialization has started.
2023-07-20T03:49:07.223590Z,1,System,[MY-013577],[InnoDB] InnoDB initialization has ended.
2023-07-20T03:49:13.240268Z,0,System,[MY-010229],[Server] Starting XA crash recovery...
2023-07-20T03:49:13.254123Z,0,System,[MY-010232],[Server] XA crash recovery finished.
2023-07-20T03:49:15.696271Z,0,Warning,[MY-010068],[Server] CA certificate ca.pem is self signed.
2023-07-20T03:49:15.696825Z,0,System,[MY-013602],[Server] Channel mysql_main configured to support TLS. Encrypted connections are now supported for this channel.
2023-07-20T03:49:16.355068Z,0,System,[MY-011323],[Server] X Plugin ready for connections. Bind-address: '::' port: 33060
2023-07-20T03:49:16.355272Z,0,System,[MY-010931],[Server] C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe: ready for connections. Version: '8.0.33'  socket: ''  port: 3306  MySQL Community Server - GPL.
2023-07-23T13:57:41.735609Z,0,System,[MY-013105],[Server] C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe: Normal shutdown.
2023-07-23T14:00:44.036471Z,0,System,[MY-010116],[Server] C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe (mysqld 8.0.33) starting as process 4604
2023-07-23T14:00:45.758291Z,1,System,[MY-013576],[InnoDB] InnoDB initialization has started.
2023-07-23T14:01:21.632347Z,1,System,[MY-013577],[InnoDB] InnoDB initialization has ended.
2023-07-23T14:01:42.089593Z,0,Warning,[MY-010068],[Server] CA certificate ca.pem is self signed.
2023-07-23T14:01:42.090166Z,0,System,[MY-013602],[Server] Channel mysql_main configured to support TLS. Encrypted connections are now supported for this channel.
2023-07-23T14:01:43.864355Z,0,System,[MY-011323],[Server] X Plugin ready for connections. Bind-address: '::' port: 33060
2023-07-23T14:01:43.864565Z,0,System,[MY-010931],[Server] C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe: ready for connections. Version: '8.0.33'  socket: ''  port: 3306  MySQL Community Server - GPL.
2023-07-24T05:01:50.405057Z,0,System,[MY-013105],[Server] C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe: Normal shutdown.
2023-07-24T05:03:46.188649Z,0,System,[MY-010910],[Server] C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe: Shutdown complete (mysqld 8.0.33)  MySQL Community Server - GPL.
2023-07-24T05:05:29.338327Z,0,System,[MY-010116],[Server] C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe (mysqld 8.0.33) starting as process 4704
2023-07-24T05:05:30.102258Z,1,System,[MY-013576],[InnoDB] InnoDB initialization has started.
2023-07-24T05:06:42.138873Z,1,System,[MY-013577],[InnoDB] InnoDB initialization has ended.
2023-07-24T05:07:09.914960Z,0,Warning,[MY-010068],[Server] CA certificate ca.pem is self signed.
2023-07-24T05:07:09.916417Z,0,System,[MY-013602],[Server] Channel mysql_main configured to support TLS. Encrypted connections are now supported for this channel.
2023-07-24T05:07:15.070882Z,0,System,[MY-011323],[Server] X Plugin ready for connections. Bind-address: '::' port: 33060
2023-07-24T05:07:15.071125Z,0,System,[MY-010931],[Server] C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe: ready for connections. Version: '8.0.33'  socket: ''  port: 3306  MySQL Community Server - GPL.
2023-07-26T04:35:34.907944Z,0,System,[MY-010116],[Server] C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe (mysqld 8.0.33) starting as process 5352
2023-07-26T04:35:35.927260Z,1,System,[MY-013576],[InnoDB] InnoDB initialization has started.
2023-07-26T04:36:01.297023Z,1,System,[MY-013577],[InnoDB] InnoDB initialization has ended.
2023-07-26T04:36:15.829120Z,0,System,[MY-010229],[Server] Starting XA crash recovery...
2023-07-26T04:36:15.909066Z,0,System,[MY-010232],[Server] XA crash recovery finished.
2023-07-26T04:36:18.838636Z,0,Warning,[MY-010068],[Server] CA certificate ca.pem is self signed.
2023-07-26T04:36:18.839200Z,0,System,[MY-013602],[Server] Channel mysql_main configured to support TLS. Encrypted connections are now supported for this channel.
