timestamp,usage
2017-10-27,8053
2017-10-28,7360
2017-10-29,8715
2017-10-30,6863
2017-10-31,9781
2017-11-01,8653
2017-11-02,9322
2017-11-03,8091
2017-11-04,8515
2017-11-05,8323
2017-11-06,7060
2017-11-07,9989
2017-11-08,9562
2017-11-09,7747
2017-11-10,8335
2017-11-11,9342
2017-11-12,5842
2017-11-13,6723
2017-11-14,9768
2017-11-15,9587
2017-11-16,9296
2017-11-17,7855
2017-11-18,8331
2017-11-19,8374
2017-11-20,6806
2017-11-21,8173
2017-11-22,10544
2017-11-23,8054
2017-11-24,3423
2017-11-25,7579
2017-11-26,7887
2017-11-27,7298
2017-11-28,9660
2017-11-29,9738
2017-11-30,8050
2017-12-01,8493
2017-12-02,8912
2017-12-03,8171
2017-12-04,6882
2017-12-05,9232
2017-12-06,9279
2017-12-07,9441
2017-12-08,7748
2017-12-09,8033
2017-12-10,7667
2017-12-11,6534
2017-12-12,8154
2017-12-13,9013
2017-12-14,8414
2017-12-15,7395
2017-12-16,8135
2017-12-17,7790
2017-12-18,6509
2017-12-19,9125
2017-12-20,8963
2017-12-21,8567
2017-12-22,7088
2017-12-23,6672
2017-12-24,8315
2017-12-25,4767
2017-12-26,4921
2017-12-27,8402
2017-12-28,8372
2017-12-29,7498
2017-12-30,6758
2017-12-31,9006
2018-01-01,5633
2018-01-02,5106
2018-01-03,9673
2018-01-04,9704
2018-01-05,5883
2018-01-06,7777
2018-01-07,8436
2018-01-08,7618
2018-01-09,9599
2018-01-10,9601
2018-01-11,9230
2018-01-12,8046
2018-01-13,7213
2018-01-14,8752
2018-01-15,6549
2018-01-16,6413
2018-01-17,9624
2018-01-18,8951
2018-01-19,8190
2018-01-20,7351
2018-01-21,8809
2018-01-22,6988
2018-01-23,8934
2018-01-24,8694
2018-01-25,9616
2018-01-26,8079
2018-01-27,8393
2018-01-28,8351
2018-01-29,6378
2018-01-30,10158
2018-01-31,9211
2018-02-01,9589
2018-02-02,8417
2018-02-03,7489
2018-02-04,8248
2018-02-05,6177
